County,State,Positive_Cases,Deaths,Elderly_pop,Young_pop,WHITE,NON_WHITE,NUM_STAFFED_BEDS,NUM_ICU_BEDS,lat,lon,percent_smokers,percent_adults_with_obesity,percent_uninsured,eightieth_percentile_income,twentieth_percentile_income,percent_adults_with_diabetes,percent_below_poverty,area_sqmi,percent_rural,POP_TOTAL,POP_DENSITY,Positive_Case_Rate,Death_Rate,min_temp,max_temp,mean_temp,wind_speed,precipitation,station_pressure,dewpoint,Positive_Case_Rate_NORM,Death_Rate_NORM,cluster_3,cluster_5
Aiken,South Carolina,4432,85,33992,136880,120735,50137,204,35,33.5443305,-81.634757,14.91590676,35.8,13.42851185,98879,21261,13.9,17.4,1071.089349,36.99898188,170872,159.5310421,0.025937544,0.000497448,51.14333333,92.6137931,72.23121325,5.989161237,0.172891787,737.8503341,62.20582526,0.325549032,0.055898648,2,3
Aitkin,Minnesota,108,1,5373,10513,15055,831,25,4,46.6082358,-93.415434,15.17175861,29.5,6.622769348,85305,20938,14.5,12.8,1821.733892,100,15886,8.720263739,0.006798439,6.29E-05,30.40643311,81.84137931,56.24988698,5.480113981,0.093600644,969.1622726,44.97130288,-0.934744168,-0.66663213,1,4
Alachua,Florida,8642,64,39272,229771,187958,81085,1537,230,29.6747572,-82.357728,16.38085209,26.7,11.86566958,104156,17196,8.8,24.2,875.0533593,21.19343727,269043,307.4589648,0.032121259,0.00023788,55.50666667,91.88064516,75.57167295,4.855603966,0.195553168,11.52911884,68.29458735,0.732741216,-0.375689736,2,3
Alamance,North Carolina,4204,59,29035,140474,124696,44813,176,20,36.0437354,-79.399455,17.09856025,32.4,14.14382019,95744,20379,12.6,18.5,423.420412,28.55800597,169509,400.3326132,0.024801043,0.000348064,46.37666667,93.91612903,70.51972862,4.823394777,0.190192524,902.3173579,57.87825397,0.250711443,-0.192484817,2,3
Alameda,California,21866,440,238763,1432566,823593,847736,3570,331,37.6469598,-121.88877,9.732710338,19.4,5.782793558,183864,35306,6.9,12,739.0929693,0.388605754,1671329,2261.324447,0.013083002,0.000263264,41.32258065,95.58387097,65.69975422,6.003794163,0.020825441,518.749635,47.97242704,-0.520911232,-0.333483302,1,4
Alamosa,Colorado,256,9,2254,13979,14209,2024,49,6,37.5729414,-105.78838,17.28464256,24,13.19106163,77301,14855,6.4,31.4,722.5767157,36.86629977,16233,22.46543467,0.015770344,0.000554426,19.18,87.43870968,56.42746544,7.13890937,0.017576037,772.8338249,26.21789555,-0.343952129,0.150636994,1,4
Albany,New York,3233,170,53272,252234,231538,73968,1479,116,42.6001854,-73.973557,14.53185466,27.3,4.400938172,128331,26572,9.1,12.9,522.814402,9.696124969,305506,584.3488604,0.010582444,0.000556454,32.05,88.53870968,60.60760369,6.523924731,0.110950077,207.1532978,47.12955453,-0.685570773,0.154008986,1,4
Albany,Wyoming,747,0,4752,34128,35091,3789,66,4,41.65452983,-105.7237792,15.64749358,23.6,12.539732,98190,17297,5.2,25.5,4274.325009,11.93972286,38880,9.096173061,0.019212963,0,19.57142857,86.24482759,52.79524725,10.06910797,0.026029326,778.9596412,27.69786675,-0.117258701,-0.771217092,1,4
Albemarle,Virginia,1390,22,21155,88175,89388,19942,240,18,38.0231228,-78.55556218,13.81823613,20.8,9.955259976,153457,33584,7.4,9.7,720.8019029,45.02273416,109330,151.6782899,0.012713802,0.000201226,44.46363636,86.92903226,64.67388354,4.675824905,0.163665689,571.6780902,56.15164016,-0.545222727,-0.436635001,1,4
Alcona,Michigan,49,2,3761,6644,10074,331,0,0,44.6854289,-83.593708,16.05008806,34.9,8.809160305,75178,18392,11.3,14.9,674.5748603,98.92158655,10405,15.42452975,0.004709274,0.000192215,28.7,83.91333333,55.98290116,6.337263412,0.124594384,894.6315086,45.83485012,-1.072313843,-0.451617753,1,4
